Bundesland;Landkreis;Verwaltung;man;woman;older75;catholic;evangelic
1;54;Gemeindeverband;2098;2273;401;416;2178
1;54;Gemeinde;464;441;58;90;438
1;54;Gemeinde;253;257;60;34;268
1;54;Gemeinde;749;799;110;188;733
1;54;Gemeinde;632;776;173;104;739
1;54;Gemeindeverband;4582;4498;570;235;7080
1;54;Gemeinde;274;245;24;9;409
1;54;Gemeinde;116;120;21;12;169
1;54;Gemeinde;305;274;48;9;479
1;54;Gemeinde;109;95;15;16;139
1;54;Gemeinde;460;450;45;9;762
1;54;Gemeinde;310;327;42;31;493
1;54;Gemeinde;332;326;28;21;547
1;54;Gemeinde;201;204;16;3;339
1;54;Gemeinde;335;306;32;28;437
1;54;Gemeinde;465;450;43;9;706
1;54;Gemeinde;148;151;25;3;259
1;54;Gemeinde;1012;1024;170;60;1576
1;54;Gemeinde;515;526;61;25;765
1;54;Gemeindeverband;675;782;199;84;1103
1;54;Gemeinde;9;3;0;0;12
1;54;Gemeinde;47;61;12;9;71
1;54;Gemeinde;63;72;15;9;113
1;54;Gemeinde;556;646;172;66;907
1;54;Gemeindeverband;4994;5851;1062;715;6948
1;54;Gemeinde;200;218;37;30;321
1;54;Gemeinde;177;170;30;4;278
1;54;Gemeinde;27;39;10;0;50
1;54;Gemeinde;167;241;35;21;296
1;54;Gemeinde;446;536;97;67;592
1;54;Gemeinde;287;338;76;26;442
1;54;Gemeinde;272;320;37;49;363
1;54;Gemeinde;209;244;32;17;346
1;54;Gemeinde;259;308;57;31;437
1;54;Gemeinde;83;110;13;0;154
1;54;Gemeinde;193;227;53;19;297
1;54;Gemeinde;20;25;10;6;23
1;54;Gemeinde;344;392;53;82;341
1;54;Gemeinde;320;336;53;34;449
1;54;Gemeinde;1990;2347;469;329;2559
1;54;Gemeindeverband;19463;19947;3575;1791;25862
1;54;Gemeinde;790;721;123;61;1034
1;54;Gemeinde;226;247;36;15;308
1;54;Gemeinde;108;114;6;10;146
1;54;Gemeinde;330;327;40;27;421
1;54;Gemeinde;104;88;12;9;113
1;54;Gemeinde;436;479;97;27;633
1;54;Gemeinde;61;52;7;6;78
1;54;Gemeinde;96;84;18;0;129
1;54;Gemeinde;42;42;3;3;56
1;54;Gemeinde;372;362;73;34;511
1;54;Gemeinde;110;110;18;7;130
1;54;Gemeinde;472;494;102;42;591
1;54;Gemeinde;487;447;77;33;636
