age,sex,educ,income,eastwest,happiness,health,lived_abroad
79,1,2,1500,0,8,3,0
79,0,2,980,0,8,4,0
44,1,3,4500,1,8,4,0
21,0,5,550,1,10,5,0
24,0,5,1300,1,7,4,0
52,0,3,1500,1,8,4,0
49,1,5,4000,1,10,5,1
44,0,3,2900,1,8,2,0
76,1,4,1300,1,3,4,0
53,0,3,1700,1,9,3,0
47,1,3,2100,0,8,4,0
74,0,2,420,1,8,2,0
42,1,4,4800,1,6,4,0
78,0,3,600,1,5,2,0
47,0,5,2000,1,9,4,1
29,1,3,800,1,9,4,1
79,1,2,1313,1,10,4,1
67,0,2,900,1,5,3,0
40,0,3,120,1,7,3,0
51,0,3,1100,0,7,3,0
50,0,4,1500,1,4,3,0
71,1,5,2400,1,10,4,0
65,1,5,700,0,8,4,0
43,0,2,900,1,8,3,0
85,1,2,1900,0,6,3,0
47,1,5,8750,1,9,5,1
91,0,2,1300,1,8,4,0
20,0,3,380,1,8,4,0
65,1,3,1063,1,8,3,0
25,1,5,3000,1,9,5,0
72,0,5,2500,1,6,2,0
76,1,2,1300,0,10,1,0
20,1,3,1400,1,8,4,0
36,0,5,600,1,7,4,1
25,1,5,2500,1,8,5,1
21,1,4,450,1,9,5,0
54,0,3,1100,1,9,5,0
49,1,2,725,1,6,3,0
69,1,3,850,0,5,2,0
67,1,2,1200,1,9,4,0
73,0,3,300,1,10,4,0
21,0,5,1577,1,7,4,0
76,1,2,1150,1,8,4,0
19,1,3,600,1,10,5,0
46,1,3,1800,0,7,4,0
22,1,5,600,0,9,5,0
51,0,5,800,1,7,4,0
81,1,2,1500,1,10,2,0
76,1,2,1400,0,8,2,0
51,0,4,813,1,9,4,0
72,1,3,1400,1,8,3,0
38,1,5,1400,0,9,4,0
23,1,3,1063,0,9,4,0
46,0,5,1600,1,10,5,0
47,0,3,1000,0,4,5,0
70,1,2,690,1,8,2,1
44,0,5,700,1,6,4,0
50,1,4,1800,1,8,4,0
32,1,2,1300,0,3,4,1
84,1,2,1200,0,5,3,0
41,0,3,700,1,7,4,0
19,1,5,450,1,8,4,0
54,1,3,2700,0,8,4,0
47,1,3,1600,0,7,5,0
56,1,5,2000,0,7,4,0
46,0,5,2500,0,9,4,0
42,1,5,6000,1,8,4,0
30,0,5,1313,1,10,5,1
37,1,3,3200,1,10,4,0
20,1,5,450,0,8,4,1
55,1,5,5000,1,9,5,0
52,0,5,3500,0,7,4,0
66,0,4,1200,1,8,4,0
46,1,5,2300,1,9,5,0
36,1,3,2125,0,8,4,0
66,1,4,2700,1,9,3,0
31,1,4,2950,1,8,5,0
63,0,3,700,1,10,4,0
27,0,5,400,0,8,2,0
73,1,2,1000,1,6,2,0
75,1,3,2300,1,7,2,0
24,1,2,1300,1,8,4,0
74,1,2,1050,1,4,2,0
53,1,2,2200,0,6,4,0
42,1,5,2875,1,8,3,0
31,1,3,1000,0,7,4,1
49,0,5,1700,1,8,3,0
57,0,5,2125,1,9,5,0
28,1,5,1550,0,8,5,0
23,1,3,1500,1,9,5,0
35,0,3,1000,0,7,4,0
33,0,3,1050,0,9,2,0
78,0,3,680,1,10,3,0
21,0,3,800,1,9,2,0
75,1,5,1300,0,8,4,0
45,1,3,1550,0,7,3,0
68,1,5,3000,1,8,3,0
24,0,5,550,1,6,5,0
45,1,3,2375,0,9,4,1
70,1,2,638,0,8,3,0
49,1,3,2200,1,8,3,0
54,0,3,2000,0,8,4,0
40,1,5,2500,1,8,4,1
47,0,3,1220,0,8,4,0
83,1,5,2300,1,8,4,0
74,1,2,1450,1,4,4,0
28,1,5,2800,0,8,5,0
73,0,2,960,0,9,4,0
77,0,2,440,1,5,3,0
50,0,5,3500,1,8,3,0
65,1,2,1650,1,7,3,0
74,0,3,813,1,10,5,0
52,0,5,1313,1,9,4,0
20,1,2,440,0,7,4,0
35,1,4,1500,0,8,3,0
44,0,5,1200,1,9,4,1
65,0,3,1300,0,8,3,0
53,0,5,1000,1,9,2,0
78,1,2,1950,0,10,3,0
21,0,5,800,1,8,5,0
68,1,2,1189,0,5,5,0
19,1,3,478,0,9,5,0
44,0,2,450,0,5,4,0
47,0,2,1000,1,1,3,0
59,0,2,1625,1,8,5,0
71,1,5,1200,0,7,4,1
40,1,5,3000,1,8,4,0
78,1,2,960,0,6,3,0
22,0,5,1200,1,9,5,0
20,1,3,450,1,9,4,0
62,0,4,2750,1,8,4,0
61,0,3,1875,0,9,5,0
34,0,3,1063,1,5,3,0
32,0,5,950,1,8,4,1
59,1,2,620,0,6,1,0
46,0,3,800,1,9,4,0
48,0,3,2300,0,6,2,0
50,0,3,650,1,8,3,0
78,1,2,3000,1,10,3,0
18,0,3,580,1,7,3,0
77,1,3,1200,0,5,2,0
48,0,5,1500,1,7,4,0
43,0,3,2400,0,8,4,0
82,0,2,1200,0,6,3,0
30,1,3,2600,1,8,3,0
65,0,2,1000,1,8,3,1
77,0,2,1000,1,9,4,0
77,1,3,1100,0,8,3,1
54,0,5,1000,1,5,2,0
75,1,3,970,0,6,3,0
65,0,3,850,0,9,4,0
49,0,5,1313,1,10,5,0
46,1,2,2000,1,9,4,0
64,1,5,755,1,10,4,1
73,1,3,860,0,5,2,0
69,0,2,1800,1,9,4,1
74,1,3,850,1,10,2,0
61,0,3,500,0,8,2,0
43,0,2,400,1,8,2,0
44,1,3,1200,0,6,3,0
29,1,3,1438,0,6,3,0
33,0,4,827,0,9,4,0
42,1,3,2500,1,8,3,0
39,1,5,2300,0,8,4,0
42,0,5,364,1,7,1,1
74,0,2,580,0,6,4,0
34,0,5,2800,1,8,4,0
26,0,3,500,1,10,5,0
23,0,5,550,1,9,5,0
52,1,3,2100,0,6,4,0
50,0,3,1500,1,9,4,0
49,0,4,2096,1,4,2,1
61,1,5,1200,1,9,4,0
32,0,5,2375,1,8,4,0
33,1,5,1300,0,8,4,0
38,0,5,1200,1,8,4,0
80,1,2,1200,1,5,4,1
56,1,5,2125,0,8,3,0
90,1,2,1800,0,5,1,0
38,1,4,2500,1,10,3,0
78,0,2,1300,0,8,3,1
67,0,5,2400,1,10,4,0
77,1,3,1800,1,10,3,0
64,1,2,1600,1,7,3,0
46,0,3,300,0,8,4,0
56,1,3,2125,1,8,3,1
53,1,3,2625,1,7,4,0
57,0,3,3000,1,10,5,0
28,1,4,3300,0,8,4,0
30,0,3,800,1,6,3,1
57,1,2,2250,1,9,4,0
49,1,3,1300,1,8,2,0
65,1,2,1000,0,7,3,0
50,1,2,2500,1,7,3,0
57,0,2,780,1,8,2,0
77,0,2,700,1,8,4,0
30,1,3,1600,1,10,5,0
51,1,2,720,1,2,1,0
49,1,5,4000,1,8,4,0
45,1,5,4600,1,7,4,1
52,1,2,1300,1,3,4,0
31,0,3,1400,0,7,4,0
53,0,3,450,0,2,1,0
43,1,3,1188,0,8,4,0
64,1,2,1700,1,8,4,0
64,1,5,1900,0,10,5,0
47,1,5,4500,1,9,5,0
29,1,2,1600,0,8,4,0
50,0,3,1313,1,5,3,0
63,0,4,2500,1,8,4,0
24,0,5,500,1,8,3,0
75,1,2,1500,1,8,4,0
80,1,5,2000,0,6,3,0
45,1,3,688,1,4,2,1
70,0,2,320,1,8,4,0
40,1,5,1840,1,7,4,0
63,0,1,220,1,10,3,0
32,0,5,3400,1,10,4,1
38,0,5,1188,0,9,4,0
25,1,4,300,1,9,5,0
49,0,2,700,1,9,3,0
76,1,2,2300,1,9,3,0
40,0,5,2000,0,8,4,1
80,0,3,938,1,10,2,0
19,1,4,300,1,7,5,0
49,1,3,3300,0,8,4,0
23,0,3,1500,1,8,4,0
52,0,3,2350,1,9,5,0
61,0,3,1063,1,10,4,0
20,0,5,720,1,9,5,0
70,1,3,615,0,6,2,0
62,0,3,900,1,7,4,1
68,1,3,2400,1,7,3,0
26,0,5,1620,1,9,4,0
62,0,4,1550,1,7,3,1
56,1,5,4250,0,9,4,1
40,0,3,1400,0,6,2,0
28,0,5,450,1,8,5,0
59,0,3,1650,0,9,4,0
58,0,3,1700,0,6,3,0
76,1,2,1200,1,9,2,0
47,1,5,2125,1,8,3,0
50,0,3,1100,1,7,4,0
48,1,3,8000,1,9,3,0
59,1,5,4100,0,9,3,0
59,1,4,5000,1,8,4,0
62,0,2,1000,1,9,5,0
53,1,5,3000,1,10,2,0
20,1,5,500,1,10,5,0
34,1,3,3000,0,8,4,0
53,1,4,4000,1,7,4,0
56,0,3,600,1,9,4,1
59,1,3,3450,1,9,5,0
83,1,3,2200,1,10,4,0
25,1,2,1600,1,7,4,0
38,1,5,3500,0,9,3,1
86,0,3,550,1,6,3,0
45,1,3,2200,0,9,3,0
27,1,3,2000,1,8,5,0
25,0,3,1300,1,8,4,0
78,1,2,890,0,7,3,0
42,0,4,450,1,9,5,0
58,1,3,3000,1,9,4,0
51,1,4,3200,1,9,5,0
54,0,3,1100,1,7,4,0
63,0,3,1450,0,9,4,0
64,1,5,2600,1,9,5,1
60,1,3,2600,1,10,4,0
47,0,3,3000,1,8,4,0
66,1,3,600,0,8,2,0
80,1,2,1625,1,10,2,1
57,0,2,600,1,10,2,0
69,1,2,1200,0,8,4,0
61,1,3,7500,1,8,4,0
51,0,3,2000,0,5,5,1
44,1,5,3300,1,8,3,0
65,1,3,2600,1,8,3,0
52,0,4,1100,1,10,4,0
45,0,5,1500,1,10,4,0
80,0,2,1000,0,9,4,0
