transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement
manual,6,small,1985,17.0,23.0,2.9684
lock-up,4,small,1985,21.0,24.0,1.9680000000000002
manual,4,small,1985,23.0,31.0,1.9680000000000002
lock-up,4,small,1985,21.0,29.0,2.4764
manual,4,small,1985,21.0,31.0,2.4764
lock-up,6,small,1985,18.0,24.0,2.9684
lock-up,4,small,1985,21.0,29.0,1.804
manual,4,small,1985,23.0,32.0,1.804
lock-up,4,small,1985,22.0,27.0,1.9844
manual,4,small,1985,23.0,32.0,1.9844
lock-up,6,small,1985,17.0,23.0,2.8372
manual,6,small,1985,16.0,21.0,2.8372
lock-up,4,small,1985,21.0,29.0,2.4764
manual,4,small,1985,21.0,31.0,2.4764
lock-up,6,small,1985,17.0,24.0,2.9684
lock-up,4,small,1985,21.0,29.0,1.804
manual,4,small,1985,23.0,32.0,1.804
lock-up,4,small,1985,19.0,26.0,1.9844
manual,4,small,1985,22.0,29.0,1.9844
lock-up,6,small,1985,17.0,22.0,2.8372
manual,6,small,1985,15.0,21.0,2.8372
auto,4,small,1985,18.0,19.0,1.9680000000000002
manual,4,small,1985,17.0,22.0,1.9680000000000002
manual,4,small,1985,16.0,22.0,2.1484
auto,4,small,1985,22.0,23.0,2.4928
manual,4,small,1985,24.0,30.0,2.4928
manual,4,small,1985,16.0,22.0,2.1484
auto,4,small,1985,22.0,23.0,2.4928
manual,4,small,1985,24.0,30.0,2.4928
manual,4,small,1985,26.0,36.0,1.5908
manual,4,small,1985,26.0,36.0,1.5908
manual,4,small,1985,24.0,30.0,1.5908
auto,4,small,1985,21.0,26.0,2.214
manual,4,small,1985,22.0,33.0,2.214
manual,4,small,1985,23.0,33.0,2.214
manual,4,small,1985,26.0,36.0,1.5908
auto,4,small,1985,19.0,24.0,2.214
manual,4,small,1985,22.0,31.0,2.214
lock-up,6,small,1985,17.0,24.0,2.9684
lock-up,4,small,1985,21.0,29.0,1.804
lock-up,4,small,1985,17.0,23.0,1.804
manual,4,small,1985,19.0,27.0,1.804
manual,4,small,1985,23.0,32.0,1.804
manual,4,small,1985,22.0,29.0,1.9844
lock-up,4,small,1985,21.0,29.0,2.4764
manual,4,small,1985,21.0,31.0,2.4764
lock-up,6,small,1985,18.0,24.0,2.9684
lock-up,4,small,1985,18.0,23.0,1.804
lock-up,4,small,1985,21.0,29.0,1.804
manual,4,small,1985,19.0,24.0,1.804
manual,4,small,1985,23.0,32.0,1.804
manual,4,small,1985,24.0,36.0,1.804
manual,4,small,1985,23.0,32.0,1.9844
lock-up,4,small,1985,21.0,29.0,2.4764
manual,4,small,1985,21.0,31.0,2.4764
auto,4,small,1985,22.0,26.0,1.3940000000000001
manual,4,small,1985,29.0,36.0,1.3940000000000001
manual,4,small,1985,26.0,32.0,1.3940000000000001
manual,4,small,1985,26.0,35.0,1.3940000000000001
auto,4,small,1985,19.0,24.0,1.722
manual,4,small,1985,25.0,33.0,1.722
auto,4,small,1985,22.0,26.0,1.3940000000000001
manual,4,small,1985,29.0,36.0,1.3940000000000001
manual,4,small,1985,26.0,32.0,1.3940000000000001
manual,4,small,1985,26.0,35.0,1.3940000000000001
auto,4,small,1985,19.0,24.0,1.722
manual,4,small,1985,25.0,33.0,1.722
auto,8,small,1985,7.0,10.0,6.7568
auto,8,small,1985,7.0,10.0,6.7568
auto,4,small,1985,16.0,21.0,1.9844
auto,4,small,1985,16.0,20.0,1.9844
manual,4,small,1985,17.0,23.0,1.9844
manual,4,small,1985,18.0,26.0,1.9844
auto,4,small,1985,16.0,20.0,1.9844
auto,4,small,1985,16.0,21.0,1.9844
manual,4,small,1985,17.0,23.0,1.9844
manual,4,small,1985,18.0,26.0,1.9844
lock-up,4,small,1985,23.0,26.0,1.7876
manual,4,small,1985,24.0,30.0,1.7876
lock-up,4,small,1985,21.0,24.0,1.7876
manual,4,small,1985,23.0,29.0,1.7876
lock-up,4,small,1985,22.0,26.0,1.7876
manual,4,small,1985,28.0,33.0,1.7876
manual,4,small,1985,24.0,30.0,1.7876
lock-up,4,small,1985,21.0,24.0,1.7876
manual,4,small,1985,23.0,29.0,1.7876
lock-up,4,small,1985,26.0,30.0,1.8368
lock-up,4,small,1985,23.0,29.0,2.0008
manual,4,small,1985,25.0,31.0,2.0008
lock-up,4,small,1985,24.0,29.0,1.5908
lock-up,4,small,1985,24.0,31.0,1.5908
manual,4,small,1985,26.0,33.0,1.5908
lock-up,4,small,1985,29.0,33.0,1.8368
manual,4,small,1985,32.0,42.0,1.8368
lock-up,6,small,1985,17.0,22.0,2.7552
manual,6,small,1985,18.0,22.0,2.7552
lock-up,4,small,1985,26.0,30.0,1.8368
lock-up,4,small,1985,23.0,29.0,2.0008
manual,4,small,1985,25.0,31.0,2.0008
lock-up,4,small,1985,24.0,29.0,1.5908
lock-up,4,small,1985,24.0,31.0,1.5908
manual,4,small,1985,26.0,33.0,1.5908
lock-up,4,small,1985,29.0,33.0,1.8368
manual,4,small,1985,32.0,42.0,1.8368
lock-up,6,small,1985,17.0,22.0,2.7552
manual,6,small,1985,18.0,22.0,2.7552
manual,4,small,1985,31.0,41.0,1.5908
auto,4,small,1985,21.0,25.0,1.7876
manual,4,small,1985,23.0,29.0,1.7876
manual,4,small,1985,23.0,31.0,1.7876
manual,4,small,1985,31.0,38.0,1.5908
manual,4,small,1985,31.0,41.0,1.5908
auto,4,small,1985,21.0,25.0,1.7876
auto,4,small,1985,21.0,25.0,1.7876
manual,4,small,1985,23.0,29.0,1.7876
manual,4,small,1985,23.0,31.0,1.7876
manual,4,small,1985,28.0,35.0,1.5908
auto,5,small,1985,16.0,20.0,2.2304
manual,5,small,1985,17.0,22.0,2.2304
manual,4,small,1985,31.0,41.0,1.5908
auto,4,small,1985,21.0,25.0,1.7876
manual,4,small,1985,23.0,29.0,1.7876
manual,4,small,1985,23.0,31.0,1.7876
manual,4,small,1985,31.0,38.0,1.5908
manual,4,small,1985,31.0,41.0,1.5908
auto,4,small,1985,21.0,25.0,1.7876
auto,4,small,1985,21.0,25.0,1.7876
manual,4,small,1985,23.0,31.0,1.7876
manual,4,small,1985,23.0,29.0,1.7876
manual,4,small,1985,28.0,35.0,1.5908
auto,5,small,1985,16.0,20.0,2.2304
manual,5,small,1985,17.0,22.0,2.2304
auto,4,small,1985,18.0,22.0,2.3124
manual,4,small,1985,21.0,26.0,2.3124
auto,4,small,1985,15.0,20.0,2.1319999999999997
manual,4,small,1985,15.0,21.0,2.1319999999999997
auto,4,small,1985,15.0,20.0,2.1319999999999997
manual,4,small,1985,15.0,20.0,2.1319999999999997
auto,4,small,1985,18.0,22.0,2.3124
manual,4,small,1985,21.0,26.0,2.3124
lock-up,6,large,1985,17.0,24.0,3.7884
lock-up,8,large,1985,15.0,21.0,5.0348
lock-up,6,large,1985,15.0,23.0,2.9684
lock-up,6,large,1985,19.0,29.0,4.3132
lock-up,6,large,1985,15.0,20.0,3.7884
lock-up,6,large,1985,19.0,29.0,4.3132
lock-up,6,large,1985,15.0,20.0,3.7884
lock-up,8,large,1985,15.0,22.0,5.0348
lock-up,8,large,1985,18.0,26.0,5.74
lock-up,6,large,1985,16.0,23.0,2.9684
lock-up,6,large,1985,17.0,24.0,3.7884
lock-up,6,large,1985,19.0,29.0,4.3132
lock-up,8,large,1985,15.0,21.0,4.0836
lock-up,8,large,1985,15.0,20.0,4.0836
lock-up,8,large,1985,18.0,26.0,5.74
lock-up,8,large,1985,15.0,22.0,4.0836
lock-up,6,large,1985,19.0,29.0,4.3132
lock-up,8,large,1985,15.0,20.0,4.0836
lock-up,8,large,1985,15.0,20.0,4.0836
lock-up,6,large,1985,15.0,21.0,4.2968
lock-up,6,large,1985,16.0,22.0,4.2968
lock-up,6,large,1985,15.0,23.0,4.2968
lock-up,8,large,1985,15.0,22.0,5.002
lock-up,6,large,1985,16.0,25.0,4.2968
lock-up,8,large,1985,15.0,22.0,5.002
lock-up,8,large,1985,11.0,17.0,5.74
lock-up,8,large,1985,18.0,26.0,5.74
lock-up,8,large,1985,18.0,27.0,5.74
lock-up,8,large,1985,15.0,21.0,4.9528
lock-up,8,large,1985,11.0,17.0,5.7564
lock-up,8,large,1985,15.0,21.0,4.9528
lock-up,8,large,1985,15.0,21.0,4.9528
lock-up,8,large,1985,15.0,21.0,4.9528
lock-up,8,large,1985,15.0,21.0,4.9528
lock-up,8,large,1985,15.0,21.0,4.9528
lock-up,6,large,1985,15.0,20.0,3.7884
lock-up,8,large,1985,15.0,20.0,5.0348
lock-up,6,large,1985,15.0,20.0,3.7884
lock-up,8,large,1985,15.0,21.0,5.0348
lock-up,6,large,1985,15.0,23.0,2.9684
lock-up,6,large,1985,17.0,24.0,3.7884
lock-up,6,large,1985,19.0,29.0,4.3132
lock-up,8,large,1985,15.0,20.0,5.0348
lock-up,8,large,1985,15.0,22.0,5.0348
lock-up,8,large,1985,18.0,26.0,5.74
